bin,avg_x,std_x,avg_y,std_y,sum_networth,sum_kills,sum_deaths,n_roshans,n_pushes,n_wards,hero_density,sum_networth_radiant,sum_networth_dire,net_worth_diff,abs_net_worth_diff,core_r_x,core_r_y,core_r_networth,core_r_kills,core_r_deaths,mid_r_x,mid_r_y,mid_r_networth,mid_r_kills,mid_r_deaths,hard_r_x,hard_r_y,hard_r_networth,hard_r_kills,hard_r_deaths,h_sup_r_x,h_sup_r_y,h_sup_r_networth,h_sup_r_kills,h_sup_r_deaths,sup_r_x,sup_r_y,sup_r_networth,sup_r_kills,sup_r_deaths,core_d_x,core_d_y,core_d_networth,core_d_kills,core_d_deaths,mid_d_x,mid_d_y,mid_d_networth,mid_d_kills,mid_d_deaths,hard_d_x,hard_d_y,hard_d_networth,hard_d_kills,hard_d_deaths,h_sup_d_x,h_sup_d_y,h_sup_d_networth,h_sup_d_kills,h_sup_d_deaths,sup_d_x,sup_d_y,sup_d_networth,sup_d_kills,sup_d_deaths,label,win,time
10,135.055787,35.01056294994286,131.5761966,26.7255216112451,17133,0,2,0,0,14,7,8587,8546,41,41,168.00659,83.21289,2409.0,0.0,0.0,120.74634,120.73901,2138.0,0.0,0.0,78.71533,152.62354,2170.0,0.0,0.0,140.89917,117.15625,669.0,0.0,1.0,133.51953,118.336426,1201.0,0.0,0.0,80.26123,162.59448,2544.0,0.0,0.0,126.49048,129.42456,2165.0,0.0,0.0,154.63306,123.13721,1742.0,0.0,0.0,166.81104,131.05542,1288.0,0.0,0.0,180.4751,177.48218,807.0,0.0,1.0,gang,0,00:05:00
11,129.9824949,39.68341446064612,131.0496586,26.4174467603612,18570,0,2,0,0,15,6,9311,9259,52,52,164.46387,72.323975,2617.0,0.0,0.0,119.95166,136.20825,2366.0,0.0,0.0,73.50537,160.92188,2288.0,0.0,0.0,125.171875,130.42578,844.0,0.0,1.0,123.368164,136.94458,1196.0,0.0,0.0,75.09497,166.14478,2704.0,0.0,0.0,135.21094,137.69507,2381.0,0.0,0.0,181.05688,112.433105,1913.0,0.0,0.0,190.33716,117.638916,1409.0,0.0,0.0,111.66406,139.76025,852.0,0.0,1.0,gang,0,00:05:30
12,127.799535,37.44761296819932,132.5153076,27.759025469504746,20304,1,3,0,0,16,9,10161,10143,18,18,174.00366,84.971436,2700.0,0.0,0.0,130.08398,155.9773,2863.0,1.0,0.0,77.52881,160.40625,2364.0,0.0,0.0,134.41724,125.39453,931.0,0.0,1.0,125.52026,128.06567,1303.0,0.0,0.0,81.03076,164.20996,2993.0,0.0,0.0,133.02539,132.13525,2481.0,0.0,1.0,167.07056,95.1958,2228.0,0.0,0.0,173.19775,119.60474,1499.0,0.0,0.0,82.11694,159.19214,942.0,0.0,1.0,gang,0,00:06:00
13,109.3110104,54.838798498667416,140.8147455,25.263608221460508,21451,2,4,0,0,17,7,10749,10702,47,47,175.73022,96.723145,3182.0,0.0,0.0,71.02124,161.58716,2814.0,1.0,0.0,65.17871,156.85449,2359.0,0.0,1.0,127.785645,127.24829,1056.0,0.0,1.0,64.76123,158.43481,1338.0,0.0,0.0,70.39551,160.21802,3244.0,1.0,0.0,70.548584,158.79785,2526.0,0.0,1.0,185.17554,111.46484,2435.0,0.0,0.0,191.16821,115.56177,1544.0,0.0,0.0,71.345215,161.25708,953.0,0.0,1.0,team_fight,0,00:06:30
14,129.5303226,41.26680349246365,134.9071285,31.513407026569748,23804,6,8,0,0,19,7,11812,11992,-180,180,143.40332,94.47339,3522.0,0.0,0.0,122.444336,116.65259,3136.0,2.0,1.0,78.52612,151.48242,2486.0,0.0,1.0,87.26514,138.13745,1037.0,0.0,1.0,80.27295,88.549805,1631.0,1.0,1.0,183.98438,176.50781,3551.0,2.0,1.0,113.677,161.44751,3026.0,1.0,1.0,179.02051,116.30005,2549.0,0.0,0.0,126.25537,129.1289,1715.0,0.0,0.0,180.4541,176.39136,1151.0,0.0,2.0,team_fight,0,00:07:00
15,127.5240714,32.21527584011876,135.383667,32.12587774258837,25626,6,8,0,0,20,9,12832,12794,38,38,165.41162,73.20239,3769.0,0.0,0.0,133.7976,118.57007,3453.0,2.0,1.0,91.04248,163.92236,2852.0,0.0,1.0,120.49609,127.19629,1082.0,0.0,1.0,136.09644,119.06201,1676.0,1.0,1.0,84.29468,174.68677,3754.0,2.0,1.0,121.562744,136.24951,3285.0,1.0,1.0,185.47485,131.56885,2769.0,0.0,0.0,140.75244,125.65381,1790.0,0.0,0.0,96.31177,183.72461,1196.0,0.0,2.0,gang,0,00:07:30
16,127.2750004,36.162381875757966,127.4848375,23.71216607905145,27379,7,9,0,0,21,10,13488,13891,-403,403,172.25586,94.501465,3987.0,0.0,0.0,122.125244,118.34985,3710.0,2.0,1.0,86.08203,149.9187,2943.0,0.0,2.0,134.75073,106.2478,1127.0,0.0,1.0,157.42847,107.78418,1721.0,1.0,1.0,78.65332,153.41113,4276.0,3.0,1.0,100.90869,152.51025,3407.0,1.0,1.0,178.32129,107.32349,3070.0,0.0,0.0,146.771,128.31616,1785.0,0.0,0.0,95.45337,156.48535,1353.0,0.0,2.0,farm,0,00:08:00
17,129.97124100000002,39.08892559507913,135.25649349999998,32.786298127394126,29197,7,9,0,0,21,7,14150,15047,-897,897,168.78589,101.426025,4293.0,0.0,0.0,123.11499,102.46362,3931.0,2.0,1.0,72.43506,141.80566,2988.0,0.0,2.0,155.95752,103.64307,1172.0,0.0,1.0,155.92944,111.78711,1766.0,1.0,1.0,96.89209,186.86499,4570.0,3.0,1.0,132.80176,156.89062,3675.0,1.0,1.0,190.8711,137.78687,3167.0,0.0,0.0,124.93384,123.73901,2185.0,0.0,0.0,77.99072,186.15796,1450.0,0.0,2.0,farm,0,00:08:30
18,134.97214490000002,34.93439463330384,117.3514899,35.662543404263545,31658,8,10,0,0,24,7,15880,15778,102,102,165.21313,67.909424,4790.0,0.0,0.0,122.181885,115.053955,4578.0,3.0,1.0,68.90674,129.3606,3257.0,0.0,2.0,131.33179,114.456055,1358.0,0.0,1.0,127.923584,112.960205,1897.0,1.0,1.0,95.440674,183.68286,4740.0,3.0,1.0,161.22974,158.76709,3958.0,1.0,1.0,175.4253,102.41211,3461.0,0.0,0.0,127.867676,121.27051,2164.0,0.0,1.0,174.20093,67.64209,1455.0,0.0,2.0,gang,0,00:09:00
19,125.7302989,33.345299161071544,120.6035155,28.99778152867737,33790,8,10,0,0,26,7,16901,16889,12,12,166.3877,88.57422,5201.0,0.0,0.0,88.56299,90.17212,4794.0,3.0,1.0,78.791504,161.70361,3561.0,0.0,2.0,135.67407,115.90869,1403.0,0.0,1.0,128.01807,116.28174,1942.0,1.0,1.0,89.28345,171.41992,5183.0,3.0,1.0,119.79028,132.1438,4135.0,1.0,1.0,149.17041,117.75415,3705.0,0.0,0.0,123.480225,125.24878,2297.0,0.0,1.0,178.14429,86.828125,1569.0,0.0,2.0,farm,0,00:09:30
