bin,avg_x,std_x,avg_y,std_y,sum_networth,sum_kills,sum_deaths,n_roshans,n_pushes,n_wards,hero_density,sum_networth_radiant,sum_networth_dire,net_worth_diff,abs_net_worth_diff,core_r_x,core_r_y,core_r_networth,core_r_kills,core_r_deaths,mid_r_x,mid_r_y,mid_r_networth,mid_r_kills,mid_r_deaths,hard_r_x,hard_r_y,hard_r_networth,hard_r_kills,hard_r_deaths,h_sup_r_x,h_sup_r_y,h_sup_r_networth,h_sup_r_kills,h_sup_r_deaths,sup_r_x,sup_r_y,sup_r_networth,sup_r_kills,sup_r_deaths,core_d_x,core_d_y,core_d_networth,core_d_kills,core_d_deaths,mid_d_x,mid_d_y,mid_d_networth,mid_d_kills,mid_d_deaths,hard_d_x,hard_d_y,hard_d_networth,hard_d_kills,hard_d_deaths,h_sup_d_x,h_sup_d_y,h_sup_d_networth,h_sup_d_kills,h_sup_d_deaths,sup_d_x,sup_d_y,sup_d_networth,sup_d_kills,sup_d_deaths,label,win
22,130.331861,33.70384898850293,118.203247,32.93016891761921,40374,9,9,0,1,30,8,19385,20989,-1604,1604,164.4231,64.61426,5331.0,0.0,0.0,120.37256,111.94653,4632.0,2.0,0.0,93.94873,128.63208,5128.0,0.0,1.0,80.88623,148.6792,2235.0,0.0,2.0,151.23657,91.62842,2059.0,2.0,2.0,85.83276,163.22217,6260.0,0.0,0.0,138.1438,154.78491,5556.0,1.0,1.0,173.62964,85.18579,4885.0,1.0,0.0,158.74634,98.70996,2248.0,1.0,2.0,136.09888,134.62915,2040.0,2.0,1.0,def,1
23,131.2707046,20.31362279474908,120.5968266,28.17280526522553,42705,9,9,0,1,32,9,20487,22218,-1731,1731,162.77734,75.33472,5568.0,0.0,0.0,131.10352,125.87842,4775.0,2.0,0.0,125.18506,123.76221,5608.0,0.0,1.0,117.509766,118.588135,2396.0,0.0,2.0,135.67725,119.940186,2140.0,2.0,2.0,85.29639,174.76685,6623.0,0.0,0.0,132.94995,139.89282,5779.0,1.0,1.0,144.25244,80.789795,5257.0,1.0,0.0,144.95679,115.02075,2299.0,1.0,2.0,132.99854,131.99438,2260.0,2.0,1.0,gang,1
24,131.2845454,29.144404921541565,117.254199,25.04894020480017,45495,12,12,0,1,34,9,21413,24082,-2669,2669,178.09375,92.56836,6075.0,0.0,0.0,123.91406,118.71338,4786.0,2.0,1.0,94.93848,133.40283,5724.0,0.0,1.0,78.8916,153.94287,2695.0,1.0,2.0,121.305664,109.87207,2133.0,2.0,3.0,131.46826,147.07129,7282.0,0.0,0.0,146.78467,115.97046,6298.0,2.0,1.0,156.87988,91.15112,5693.0,2.0,0.0,149.66797,77.55615,2397.0,1.0,2.0,130.90112,132.29346,2412.0,2.0,2.0,team_fight,1
25,134.02324149999998,33.69210853343225,119.938135,38.7564953886159,47442,12,12,0,1,34,9,22123,25319,-3196,3196,138.04858,65.68262,6263.0,0.0,0.0,106.71924,127.42334,4997.0,2.0,1.0,93.79541,132.85913,5845.0,0.0,1.0,165.75,75.25,2863.0,1.0,2.0,85.70825,167.9375,2155.0,2.0,3.0,110.825195,161.05664,7641.0,0.0,0.0,174.5708,162.94556,6657.0,2.0,1.0,160.04736,85.19116,6002.0,2.0,0.0,174.31299,86.79248,2502.0,1.0,2.0,130.45459,134.24292,2517.0,2.0,2.0,farm,1
26,114.1598876,36.59732631827182,139.33918450000002,42.15255196204314,48932,12,12,0,1,37,8,23055,25877,-2822,2822,142.40552,94.91748,6527.0,0.0,0.0,100.84888,142.07056,5219.0,2.0,1.0,81.64282,169.55518,5960.0,0.0,1.0,87.19531,163.78906,3109.0,1.0,2.0,79.20557,170.08203,2240.0,2.0,3.0,97.871826,187.83545,7785.0,0.0,0.0,182.64429,75.84863,6605.0,2.0,1.0,156.67236,80.303955,6224.0,2.0,0.0,82.11572,179.26758,2450.0,1.0,2.0,130.99658,129.72192,2813.0,2.0,2.0,split-push,1
27,101.776415,34.43337536684406,125.2361325,32.89585939971517,50754,12,12,0,1,40,9,24070,26684,-2614,2614,107.96631,66.56885,6820.0,0.0,0.0,109.77588,135.3938,5602.0,2.0,1.0,79.38281,135.47607,6087.0,0.0,1.0,66.44873,130.96875,3074.0,1.0,2.0,64.23901,141.37549,2487.0,2.0,3.0,82.36328,166.51367,8150.0,0.0,0.0,139.70288,109.82031,6652.0,2.0,1.0,159.16626,78.967285,6474.0,2.0,0.0,70.53784,166.40283,2544.0,1.0,2.0,138.18115,120.87427,2864.0,2.0,2.0,split-push,1
28,110.0978505,29.544835686313967,129.56560140000002,35.108775419536954,53773,12,12,0,2,40,8,25376,28397,-3021,3021,137.49536,91.87305,7220.0,0.0,0.0,106.609375,123.86133,5898.0,2.0,1.0,87.1416,146.406,6435.0,0.0,1.0,76.77368,77.17285,3121.0,1.0,2.0,84.95337,159.45508,2702.0,2.0,3.0,82.78613,180.32935,8510.0,0.0,0.0,139.07861,133.24097,7122.0,2.0,1.0,158.87451,85.740234,6897.0,2.0,0.0,93.21753,164.08911,2686.0,1.0,2.0,134.04834,133.48804,3182.0,2.0,2.0,farm,1
29,96.897071,35.12166248227911,142.356029,32.18516428101117,55711,13,13,0,2,41,8,26096,29615,-3519,3519,166.73242,79.37744,7554.0,0.0,0.0,81.86182,154.57007,5913.0,2.0,1.0,78.63721,152.04932,6488.0,0.0,1.0,81.02344,169.6997,3169.0,1.0,3.0,69.965576,156.37402,2972.0,2.0,3.0,83.166504,165.55493,8977.0,1.0,0.0,80.329834,150.52124,7297.0,2.0,1.0,159.26758,85.4104,7214.0,2.0,0.0,83.00781,155.96411,2851.0,1.0,2.0,84.978516,154.03906,3276.0,2.0,2.0,team_fight,1
30,107.499733,35.32768091015644,136.152589,37.96286319047763,58177,14,14,0,3,43,8,26565,31612,-5047,5047,148.43604,64.39136,7931.0,0.0,0.0,84.3479,146.17847,5928.0,2.0,2.0,124.958496,123.57349,6435.0,0.0,1.0,81.02344,169.6997,3302.0,1.0,3.0,180.63892,84.52466,2969.0,2.0,3.0,86.615234,161.1919,9983.0,2.0,0.0,97.65991,132.16089,7564.0,2.0,1.0,74.66138,177.78076,7381.0,2.0,0.0,119.37427,129.1731,3208.0,1.0,2.0,77.28174,172.85156,3476.0,2.0,2.0,team_fight,1
31,153.505737,23.772281811814665,109.816845,20.74903831392568,59731,14,14,0,3,45,10,27316,32415,-5099,5099,135.42236,121.23535,8098.0,0.0,0.0,136.33887,122.64502,5976.0,2.0,2.0,127.63306,122.5061,6855.0,0.0,1.0,133.1018,120.51196,3300.0,1.0,3.0,195.92822,85.2124,3087.0,2.0,3.0,174.28516,94.57153,10031.0,2.0,0.0,141.771,145.0669,7964.0,2.0,1.0,166.25732,80.278076,7640.0,2.0,0.0,143.48999,114.48169,3256.0,1.0,2.0,180.82959,91.659424,3524.0,2.0,2.0,farm,1
32,146.037476,50.40813893930378,96.3170661,33.95568090287494,61632,15,15,0,4,45,7,28476,33156,-4680,4680,142.56104,79.22534,8483.0,0.0,0.0,92.029785,148.32812,6239.0,2.0,2.0,77.18652,132.60645,7157.0,0.0,1.0,67.035645,119.3728,3453.0,1.0,3.0,192.24927,67.806885,3144.0,2.0,4.0,189.30469,64.791016,10284.0,3.0,0.0,140.48193,138.25562,8168.0,2.0,1.0,187.61816,67.58301,7972.0,2.0,0.0,184.51685,69.86304,3303.0,1.0,2.0,187.39087,75.33838,3429.0,2.0,2.0,gang,1
33,123.3198975,29.85137200755839,112.2438716,37.88978098224276,66634,15,15,0,4,46,8,29961,36673,-6712,6712,123.37378,64.79199,8901.0,0.0,0.0,110.96924,173.92749,6739.0,2.0,2.0,95.30957,132.78271,7406.0,0.0,1.0,112.741455,96.785645,3724.0,1.0,3.0,95.42578,130.22388,3191.0,2.0,4.0,154.09912,81.718506,10879.0,3.0,0.0,147.54883,116.511475,8834.0,2.0,1.0,81.19165,162.71875,8268.0,2.0,0.0,137.39844,65.82617,3641.0,1.0,2.0,175.14111,97.1521,5051.0,2.0,2.0,farm,1
34,124.0941897,33.255402159994425,121.8864736,32.399512625143345,69641,16,16,0,4,46,9,30984,38657,-7673,7673,130.23193,68.39917,9022.0,0.0,1.0,104.67676,163.86938,7032.0,2.0,2.0,118.718506,122.50513,7754.0,0.0,1.0,92.323975,132.08252,3937.0,1.0,3.0,89.51758,150.58325,3239.0,2.0,4.0,156.9502,89.653076,11403.0,3.0,0.0,130.82568,106.90576,9075.0,2.0,1.0,86.697266,167.20117,8707.0,2.0,0.0,139.49463,97.90991,4185.0,2.0,2.0,191.50537,119.75537,5287.0,2.0,2.0,gang,1
35,129.95603,22.626641908752905,117.4480966,24.994384655152533,72357,18,18,0,4,48,9,32051,40306,-8255,8255,130.23193,68.39917,9069.0,0.0,1.0,119.60962,130.10742,7309.0,2.0,2.0,71.07129,74.82056,8145.0,1.0,2.0,126.85791,136.29541,4163.0,1.0,3.0,137.22485,117.71973,3365.0,2.0,4.0,145.55322,134.38086,12185.0,4.0,0.0,144.69922,136.76465,9134.0,2.0,2.0,134.29541,128.73218,9043.0,2.0,0.0,140.6438,126.82373,4541.0,2.0,2.0,149.37305,120.437256,5403.0,2.0,2.0,team_fight,1
36,127.6934095,35.68182049706891,124.261085,34.98459807705043,73321,18,18,0,4,52,7,32718,40603,-7885,7885,114.2771,134.19287,9425.0,0.0,1.0,138.7771,82.28345,7340.0,2.0,2.0,71.07129,74.82056,8256.0,1.0,2.0,72.34717,75.55005,4172.0,1.0,3.0,106.835205,136.68921,3525.0,2.0,4.0,171.802,127.82666,12402.0,4.0,0.0,144.69922,136.76465,9181.0,2.0,2.0,139.59766,156.52783,9090.0,2.0,0.0,167.25928,175.74463,4530.0,2.0,2.0,150.26807,142.21094,5400.0,2.0,2.0,farm,1
37,112.0675785,29.71341970166922,144.611694,37.72916317560939,76033,18,18,0,5,52,8,34328,41705,-7377,7377,95.16138,167.56445,10057.0,0.0,1.0,88.81055,186.21802,7725.0,2.0,2.0,109.82422,113.15405,8394.0,1.0,2.0,74.60669,78.12891,4489.0,1.0,3.0,86.05835,178.76685,3663.0,2.0,4.0,177.41919,101.2832,12736.0,4.0,0.0,120.18115,174.84717,9314.0,2.0,2.0,127.43359,135.28882,9504.0,2.0,0.0,108.012695,176.22607,4578.0,2.0,2.0,133.16797,134.6394,5573.0,2.0,2.0,split-push,1
38,87.7176033,3.551307227087704,161.305151,4.766723264268759,76801,18,18,0,5,55,10,34708,42093,-7385,7385,87.31714,156.40161,10187.0,0.0,1.0,81.146484,156.72412,7827.0,2.0,2.0,92.733154,162.43506,8643.0,1.0,2.0,87.191895,155.82129,4441.0,1.0,3.0,87.66919,156.00342,3610.0,2.0,4.0,83.60181,168.9331,12989.0,4.0,0.0,90.11963,165.88428,9361.0,2.0,2.0,87.79346,161.95288,9551.0,2.0,0.0,87.21997,165.03076,4702.0,2.0,2.0,92.3833,163.86499,5490.0,2.0,2.0,team_fight,1
39,110.0212399,26.17483229519889,141.6185305,33.45263205175029,78561,19,19,0,5,57,9,35919,42642,-6723,6723,93.51074,131.55371,10616.0,0.0,1.0,121.23193,136.01465,8204.0,3.0,2.0,114.39038,132.29614,8815.0,1.0,2.0,120.88013,124.41846,4651.0,1.0,3.0,118.58203,133.64526,3633.0,2.0,4.0,170.6626,67.703125,13286.0,4.0,0.0,104.887695,171.4419,9378.0,2.0,2.0,80.99097,162.24683,9698.0,2.0,0.0,87.382324,177.07617,4600.0,2.0,3.0,87.6936,179.78906,5680.0,2.0,2.0,farm,1
40,131.417408,28.86434690596873,118.6366208,18.62804817775945,81087,19,19,0,5,57,9,36652,44435,-7783,7783,83.86963,134.10303,11068.0,0.0,1.0,140.3523,107.52954,8251.0,3.0,2.0,140.98535,107.562744,8862.0,1.0,2.0,76.56836,78.500244,4851.0,1.0,3.0,141.12378,108.95068,3620.0,2.0,4.0,157.41406,120.98877,13720.0,4.0,0.0,137.47949,134.17676,9789.0,2.0,2.0,124.6062,142.29321,10234.0,2.0,0.0,157.76099,123.47534,4787.0,2.0,3.0,154.01392,128.78589,5905.0,2.0,2.0,farm,1
41,115.387305,29.4633415174994,91.1935555,18.907975050971668,84431,19,19,0,5,60,10,38484,45947,-7463,7463,67.501465,122.625,11722.0,0.0,1.0,105.31592,109.021484,8570.0,3.0,2.0,134.50928,64.10254,9258.0,1.0,2.0,70.835205,74.758545,5088.0,1.0,3.0,107.62695,102.17383,3846.0,2.0,4.0,157.89966,85.98682,14595.0,4.0,0.0,134.95703,88.17261,10152.0,2.0,2.0,109.965576,104.450195,10480.0,2.0,0.0,142.45923,67.305176,4831.0,2.0,3.0,122.802734,93.339355,5889.0,2.0,2.0,gang,1
42,124.462987,9.91449231421139,83.4117685,7.468740439380231,87072,21,21,0,5,60,10,39951,47121,-7170,7170,123.2688,80.75049,12003.0,0.0,1.0,127.56543,77.571045,9269.0,4.0,2.0,116.12915,69.93262,9282.0,1.0,3.0,119.1709,79.79126,5340.0,1.0,3.0,115.79297,79.70874,4057.0,2.0,4.0,138.78906,89.21094,15073.0,4.0,0.0,107.46484,81.69385,10348.0,3.0,3.0,128.3894,92.1416,10528.0,2.0,0.0,136.07446,90.3313,5114.0,2.0,3.0,131.98486,92.98584,6058.0,2.0,2.0,team_fight,1
43,118.4073486,19.295019020615133,118.1986569,19.93953043111253,88519,21,21,0,5,61,10,40727,47792,-7065,7065,121.34375,124.609375,12331.0,0.0,1.0,119.05005,128.9563,9367.0,4.0,2.0,76.739746,79.58276,9329.0,1.0,3.0,104.02344,127.27734,5425.0,1.0,3.0,118.99609,123.791504,4275.0,2.0,4.0,148.46973,127.95923,15355.0,4.0,0.0,107.46484,81.69385,10395.0,3.0,3.0,126.01001,129.64404,10848.0,2.0,0.0,131.42651,126.58716,5081.0,2.0,3.0,130.54932,131.88501,6113.0,2.0,2.0,team_fight,1
44,156.261232,8.655413071540583,148.71738299999998,9.475703056917087,91029,23,23,0,5,61,10,43414,47615,-4201,4201,154.84546,149.59058,13321.0,2.0,1.0,151.49976,144.50732,9834.0,4.0,2.0,152.4021,153.36353,9856.0,1.0,3.0,149.27295,141.354,5671.0,1.0,3.0,154.9624,143.85889,4732.0,2.0,4.0,143.17627,138.19946,15018.0,4.0,1.0,158.59546,162.8064,10442.0,3.0,3.0,171.58423,161.76367,10895.0,2.0,0.0,169.3877,136.00098,5128.0,2.0,3.0,156.88599,155.729,6132.0,2.0,3.0,team_fight,1
45,143.431494,21.78718628864845,118.7311272,26.95075946166192,92460,23,23,0,5,63,9,43962,48498,-4536,4536,148.6604,106.45166,13369.0,2.0,1.0,151.68896,106.090576,10091.0,4.0,2.0,144.79395,104.482666,9904.0,1.0,3.0,126.25537,99.62012,5948.0,1.0,3.0,147.2893,103.07446,4650.0,2.0,4.0,143.17627,138.19946,15066.0,4.0,1.0,90.03418,173.28027,10959.0,3.0,3.0,169.28052,99.13306,11056.0,2.0,0.0,156.25,101.25,5200.0,2.0,3.0,156.88599,155.729,6217.0,2.0,3.0,push,1
46,132.340307,32.0123770085669,118.012645,36.888856350321205,95542,24,24,1,5,64,7,46272,49270,-2998,2998,147.97192,80.956055,14498.0,3.0,1.0,137.63306,128.17773,10380.0,4.0,2.0,117.086426,100.2749,10193.0,1.0,3.0,65.90112,131.9414,6262.0,1.0,3.0,145.86328,78.14551,4939.0,2.0,4.0,142.81104,147.28906,14900.0,4.0,1.0,104.32544,188.09985,11488.0,3.0,3.0,185.09253,74.223145,11463.0,2.0,0.0,151.9851,104.61328,5117.0,2.0,4.0,124.733154,146.40552,6302.0,2.0,3.0,Roshan,1
47,140.2307605,35.86786452680623,135.423388,25.340402644860564,98627,24,24,1,6,65,9,48021,50606,-2585,2585,172.78638,109.93286,15250.0,3.0,1.0,133.57153,115.553955,10713.0,4.0,2.0,127.24194,116.157715,10448.0,1.0,3.0,107.443115,127.22754,6684.0,1.0,3.0,156.62988,105.89624,4926.0,2.0,4.0,86.927,165.28613,15707.0,4.0,1.0,168.42358,178.2102,11714.0,3.0,3.0,187.55249,133.28247,11685.0,2.0,0.0,169.01538,161.10303,5164.0,2.0,4.0,92.71631,141.58374,6336.0,2.0,3.0,split-push,1
48,130.986524,34.60279032482149,136.107324,9.000499433847734,100499,24,24,1,7,72,10,49306,51193,-1887,1887,156.37134,128.42627,15765.0,3.0,1.0,92.44922,140.90088,11122.0,4.0,2.0,158.22583,132.90112,10606.0,1.0,3.0,94.78418,133.1753,6779.0,1.0,3.0,152.22437,125.03735,5034.0,2.0,4.0,86.21655,155.58154,15939.0,4.0,1.0,154.70581,127.88623,11762.0,3.0,3.0,174.41748,141.49707,11988.0,2.0,0.0,147.24121,134.3811,5212.0,2.0,4.0,93.22925,141.28638,6292.0,2.0,3.0,push,1
