bin,avg_x,std_x,avg_y,std_y,sum_networth,sum_kills,sum_deaths,n_roshans,n_pushes,n_wards,hero_density,sum_networth_radiant,sum_networth_dire,net_worth_diff,abs_net_worth_diff,core_r_x,core_r_y,core_r_networth,core_r_kills,core_r_deaths,mid_r_x,mid_r_y,mid_r_networth,mid_r_kills,mid_r_deaths,hard_r_x,hard_r_y,hard_r_networth,hard_r_kills,hard_r_deaths,h_sup_r_x,h_sup_r_y,h_sup_r_networth,h_sup_r_kills,h_sup_r_deaths,sup_r_x,sup_r_y,sup_r_networth,sup_r_kills,sup_r_deaths,core_d_x,core_d_y,core_d_networth,core_d_kills,core_d_deaths,mid_d_x,mid_d_y,mid_d_networth,mid_d_kills,mid_d_deaths,hard_d_x,hard_d_y,hard_d_networth,hard_d_kills,hard_d_deaths,h_sup_d_x,h_sup_d_y,h_sup_d_networth,h_sup_d_kills,h_sup_d_deaths,sup_d_x,sup_d_y,sup_d_networth,sup_d_kills,sup_d_deaths,label
27,116.7302486,44.77790234136944,126.830567,27.81708913535948,49891,8,8,0,1,37,7,25574,24317,1257,1257,184.4873,77.44946,6659.0,0.0,0.0,116.91016,120.43408,5991.0,2.0,0.0,75.65161,144.92456,7478.0,1.0,0.0,62.928955,154.34229,2538.0,1.0,2.0,120.859375,114.23926,2908.0,0.0,2.0,79.87915,154.03345,7831.0,1.0,1.0,127.26416,129.97388,5660.0,1.0,0.0,132.28564,130.53271,5678.0,0.0,0.0,190.88013,86.44165,3069.0,2.0,2.0,76.156006,155.93433,2079.0,0.0,1.0,push
28,139.09155149999998,50.38651381175468,129.265185,37.30134210693802,51692,9,9,0,1,37,6,26455,25237,1218,1218,177.61548,88.78296,6833.0,0.0,0.0,115.30347,93.75366,6177.0,2.0,0.0,85.41235,172.33325,7841.0,1.0,0.0,65.957275,131.69897,2585.0,1.0,2.0,193.93066,108.75391,3019.0,0.0,3.0,100.58081,187.87793,8259.0,1.0,1.0,182.50488,100.21094,6003.0,2.0,0.0,179.7915,108.2854,5723.0,0.0,0.0,192.18457,121.13916,3126.0,2.0,2.0,97.63452,179.81567,2126.0,0.0,1.0,def
29,133.914965,36.59204885016697,131.86716310000003,44.60679889040394,54002,9,9,0,2,38,6,27771,26231,1540,1540,164.49585,69.26953,7172.0,0.0,0.0,144.27661,90.653076,6491.0,2.0,0.0,93.58887,167.87817,8228.0,1.0,0.0,88.14453,163.90723,2723.0,1.0,2.0,74.65039,78.0647,3157.0,0.0,3.0,141.26855,191.89062,8539.0,1.0,1.0,149.21973,128.35352,6143.0,2.0,0.0,170.1643,99.092285,6131.0,0.0,0.0,180.51245,175.1914,3294.0,2.0,2.0,132.82837,154.3711,2124.0,0.0,1.0,split-push
30,157.040454,30.005312853131045,120.5756825,29.49740306014311,55407,9,9,0,2,41,9,28272,27135,1137,1137,173.53027,90.08203,7490.0,0.0,0.0,119.4375,112.63135,6594.0,2.0,0.0,193.84644,105.05615,8314.0,1.0,0.0,193.85913,102.26318,2720.0,1.0,2.0,168.48096,90.73877,3154.0,0.0,3.0,116.28589,176.62744,8884.0,1.0,1.0,158.35815,129.30786,6512.0,2.0,0.0,177.5708,106.214355,6287.0,0.0,0.0,119.073,163.90381,3281.0,2.0,2.0,149.9624,128.93188,2171.0,0.0,1.0,gang
31,162.95459,35.23238489735481,123.583644,22.902262137682754,57404,9,9,0,2,41,8,29102,28302,800,800,178.0315,118.17212,7788.0,0.0,0.0,170.55127,101.12329,6818.0,2.0,0.0,182.27588,112.180664,8362.0,1.0,0.0,184.16309,111.83447,2765.0,1.0,2.0,184.15112,110.377686,3369.0,0.0,3.0,79.33765,167.25171,9419.0,1.0,1.0,181.91748,115.06763,6717.0,2.0,0.0,175.30322,117.84766,6415.0,0.0,0.0,118.66235,164.719,3452.0,2.0,2.0,175.15234,117.26221,2299.0,0.0,1.0,team_fight
32,149.3062266,41.905770579224686,117.6769524,22.07129041490688,60437,11,11,0,3,41,8,30595,29842,753,753,79.502686,154.76611,8460.0,1.0,0.0,138.57178,114.03418,7089.0,2.0,0.0,164.95557,96.66089,8687.0,1.0,0.0,194.26904,107.89746,2769.0,1.0,3.0,75.60889,78.118164,3590.0,0.0,3.0,189.81934,133.97827,9875.0,1.0,1.0,175.83203,105.59009,7231.0,3.0,0.0,160.7793,124.06714,6619.0,0.0,0.0,140.6062,137.70605,3764.0,2.0,2.0,173.11743,123.95117,2353.0,0.0,2.0,team_fight
33,147.588159,19.48143102280474,97.4854,26.78014271890773,62509,12,12,0,3,47,9,31482,31027,455,455,107.13867,163.75854,9010.0,1.0,0.0,132.13281,103.71094,7136.0,2.0,0.0,158.26172,68.53784,9009.0,1.0,0.0,163.71582,77.3667,2790.0,1.0,4.0,132.43213,106.6499,3537.0,0.0,3.0,166.32935,82.01221,10240.0,2.0,1.0,156.22119,79.35693,7819.0,3.0,0.0,156.92969,100.15015,6837.0,0.0,0.0,137.29785,104.41577,3831.0,2.0,2.0,165.42236,88.89502,2300.0,0.0,2.0,gang
34,138.68644999999998,19.89209555224721,103.1787105,7.096802233050027,64890,13,13,0,4,47,10,32936,31954,982,982,143.82397,106.41699,9520.0,1.0,0.0,135.86572,103.936035,7360.0,2.0,0.0,139.30078,99.0437,9247.0,1.0,0.0,86.07056,91.53467,2838.0,1.0,4.0,149.52246,101.12329,3971.0,1.0,3.0,152.28882,117.725586,10522.0,2.0,1.0,152.59302,100.78125,8027.0,3.0,0.0,149.45093,101.62549,7169.0,0.0,0.0,130.42358,110.29028,3798.0,2.0,3.0,147.52466,99.309814,2438.0,0.0,2.0,push
35,136.245386,38.85736136919181,131.8192396,37.64243621990009,66414,13,13,0,4,48,7,33670,32744,926,926,171.4856,94.100586,9805.0,1.0,0.0,143.51196,88.6792,7541.0,2.0,0.0,79.70166,176.17017,9421.0,1.0,0.0,106.16577,127.5166,2885.0,1.0,4.0,137.87305,90.45874,4018.0,1.0,3.0,115.00366,176.09473,10900.0,2.0,1.0,189.70288,134.41724,8178.0,3.0,0.0,97.63257,187.3606,7336.0,0.0,0.0,127.56006,137.75635,3845.0,2.0,3.0,193.81665,105.63818,2485.0,0.0,2.0,team_fight
36,125.943555,30.182436472153988,132.7411376,36.75030412649592,69064,13,13,0,4,50,8,35051,34013,1038,1038,163.57959,69.331055,10138.0,1.0,0.0,119.89136,120.39551,7883.0,2.0,0.0,108.203125,160.00317,9742.0,1.0,0.0,118.97339,113.27197,3006.0,1.0,4.0,117.282715,117.184326,4282.0,1.0,3.0,125.82056,191.88159,11417.0,2.0,1.0,175.72778,114.98389,8460.0,3.0,0.0,73.28906,185.19507,7702.0,0.0,0.0,105.47583,127.285645,3892.0,2.0,3.0,151.19214,127.87915,2542.0,0.0,2.0,farm
37,121.201538,28.384939462365832,133.931664,27.586490941967792,70564,13,13,0,4,55,8,35583,34981,602,602,93.32446,161.5752,10104.0,1.0,0.0,103.84155,143.69629,8062.0,2.0,0.0,105.07446,145.7229,10034.0,1.0,0.0,106.02466,145.5476,2916.0,1.0,4.0,104.54492,140.64038,4467.0,1.0,3.0,136.09082,161.33813,11803.0,2.0,1.0,162.64941,85.8042,8879.0,3.0,0.0,161.5774,83.70386,7808.0,0.0,0.0,89.20337,141.75073,3940.0,2.0,3.0,149.68433,129.53735,2551.0,0.0,2.0,Roshan
38,113.7752684,6.155159965641463,130.84975649999998,3.830654808607972,71896,15,15,0,4,55,10,35791,36105,-314,314,113.93872,129.30664,10261.0,1.0,0.0,108.377686,127.18921,8416.0,3.0,0.0,106.533936,134.27515,10209.0,1.0,0.0,116.19629,124.19946,2391.0,1.0,5.0,102.62158,135.46094,4514.0,1.0,3.0,115.95581,134.40161,12255.0,3.0,1.0,113.864746,130.63232,9218.0,3.0,0.0,120.74341,127.144775,7920.0,0.0,0.0,118.319336,134.34058,4042.0,2.0,4.0,121.20117,131.54688,2670.0,0.0,2.0,def
39,117.0587165,17.053958805594743,142.9906986,14.400640824718938,73058,15,15,0,4,57,10,36557,36501,56,56,119.835205,135.50317,10607.0,1.0,0.0,105.99585,144.04028,8494.0,3.0,0.0,99.73364,158.80933,10446.0,1.0,0.0,104.28638,138.16675,2468.0,1.0,5.0,102.71802,138.59058,4542.0,1.0,3.0,111.84985,160.84766,12359.0,3.0,1.0,113.59082,157.71313,9266.0,3.0,0.0,137.219,122.47046,8156.0,0.0,0.0,153.84229,121.309326,4052.0,2.0,4.0,121.51611,152.4563,2668.0,0.0,2.0,farm
40,123.5682372,19.83282737102637,136.61523549999998,37.96349309954225,75443,15,15,0,4,57,10,36794,38649,-1855,1855,145.03027,82.40015,10736.0,1.0,0.0,140.60425,94.18286,8441.0,3.0,0.0,118.516846,119.786865,10513.0,1.0,0.0,87.9436,161.09473,2515.0,1.0,5.0,100.87158,161.46509,4589.0,1.0,3.0,126.43091,192.31616,12956.0,3.0,1.0,118.579346,165.85425,9727.0,3.0,0.0,151.09595,90.79932,8764.0,0.0,0.0,113.59766,135.67969,4352.0,2.0,4.0,133.01196,162.57324,2850.0,0.0,2.0,farm
41,136.549976,42.37586271791452,128.4950932,28.38571317183599,78313,15,15,0,4,57,8,38491,39822,-1331,1331,167.17871,96.57861,11403.0,1.0,0.0,141.7976,105.99829,8673.0,3.0,0.0,130.82593,121.61719,11000.0,1.0,0.0,76.21094,162.84497,2735.0,1.0,5.0,177.7268,86.881836,4680.0,1.0,3.0,103.57349,176.8252,13493.0,3.0,1.0,139.39893,148.48657,10020.0,3.0,0.0,191.5271,128.20972,8912.0,0.0,0.0,68.29932,132.78003,4500.0,2.0,4.0,168.96094,124.728516,2897.0,0.0,2.0,farm
42,112.695435,40.50514141097872,132.75127,27.255896857794525,81192,16,16,0,4,58,8,40227,40965,-738,738,165.96875,82.50171,11841.0,1.0,0.0,130.78882,94.37793,8896.0,3.0,0.0,111.12256,144.73584,11365.0,1.0,0.0,76.71631,142.12012,2993.0,1.0,5.0,67.18628,135.68677,5132.0,2.0,3.0,88.39844,166.63135,13976.0,3.0,1.0,146.08594,133.53174,10361.0,3.0,0.0,178.6416,121.83154,9274.0,0.0,0.0,71.7478,139.6914,4435.0,2.0,5.0,90.29785,166.4043,2919.0,0.0,2.0,gang
43,121.2825919,30.815873781653767,164.87116799999998,39.916095725461645,83458,16,16,0,4,60,7,41049,42409,-1360,1360,108.36743,189.09766,11888.0,1.0,0.0,115.573975,95.32129,9189.0,3.0,0.0,111.89111,186.58716,11473.0,1.0,0.0,72.09546,162.67676,3320.0,1.0,5.0,111.2041,190.94434,5179.0,2.0,3.0,115.632324,191.18335,14284.0,3.0,1.0,118.77539,184.3584,11017.0,3.0,0.0,163.20532,86.48486,9578.0,0.0,0.0,183.46875,177.8125,4482.0,2.0,5.0,112.61206,184.24536,3048.0,0.0,2.0,gang
44,92.9867917,25.059628283331627,157.921142,45.94169579604368,85940,19,19,0,4,62,8,41807,44133,-2326,2326,130.68164,77.90796,12199.0,2.0,0.0,130.90332,121.33862,9561.0,3.0,0.0,85.43506,171.05225,11346.0,1.0,1.0,74.92798,82.47803,3475.0,1.0,5.0,107.928955,192.03564,5226.0,2.0,4.0,73.225586,183.50073,15019.0,4.0,1.0,72.02319,188.94214,11500.0,4.0,0.0,70.32422,189.48828,9900.0,0.0,0.0,71.68945,188.59521,4695.0,2.0,5.0,112.728516,183.87256,3019.0,0.0,3.0,team_fight
45,127.337819,28.20522117730981,129.3085202,23.03742420673084,90610,19,19,0,5,64,10,42835,47775,-4940,4940,168.23682,107.20972,12940.0,2.0,0.0,148.69678,109.03345,9668.0,3.0,0.0,85.43506,171.05225,11394.0,1.0,1.0,124.78125,97.62866,3609.0,1.0,5.0,145.75293,114.670166,5224.0,2.0,4.0,82.21094,139.43237,15824.0,4.0,1.0,122.72632,146.15698,11989.0,4.0,0.0,112.52661,138.3247,10272.0,0.0,0.0,130.3064,148.7334,5008.0,2.0,5.0,152.70508,120.843506,4682.0,0.0,3.0,farm
46,128.7800785,34.827457731456334,124.4279534,25.65412490675144,92352,19,19,0,5,65,9,43379,48973,-5594,5594,132.22974,91.5625,13061.0,2.0,0.0,121.52612,122.267334,9908.0,3.0,0.0,78.86621,121.26367,11441.0,1.0,1.0,136.77759,85.53711,3656.0,1.0,5.0,66.55298,116.60913,5313.0,2.0,4.0,176.94751,115.66577,16247.0,4.0,1.0,138.98486,151.64282,12365.0,4.0,0.0,142.70142,153.07788,10355.0,0.0,0.0,122.411865,164.56567,5135.0,2.0,5.0,170.80249,122.08765,4871.0,0.0,3.0,Roshan
47,125.4864735,17.928040718035383,117.6906016,34.96854566011969,94652,19,19,0,5,67,9,44753,49899,-5146,5146,155.48413,76.58496,13546.0,2.0,0.0,114.01416,118.438965,10134.0,3.0,0.0,97.876465,172.8833,11792.0,1.0,1.0,134.36108,66.0293,3791.0,1.0,5.0,108.97168,126.59595,5490.0,2.0,4.0,126.476074,113.157715,16657.0,4.0,1.0,130.0437,115.58447,12608.0,4.0,0.0,110.249756,174.43604,10495.0,0.0,0.0,130.18872,110.4314,5271.0,2.0,5.0,147.19897,102.763916,4868.0,0.0,3.0,farm
48,113.069825,22.594631627634225,104.6331784,12.835616926949012,98666,22,22,0,6,67,9,45011,53655,-8644,8644,106.2749,72.72681,13749.0,2.0,0.0,107.49756,123.69653,10255.0,3.0,1.0,105.60376,106.0354,11670.0,1.0,2.0,108.56348,111.825195,3801.0,1.0,6.0,176.91919,107.51514,5536.0,2.0,4.0,104.137695,108.72534,18277.0,7.0,1.0,100.82886,105.531494,13241.0,4.0,0.0,104.769775,103.053955,11095.0,0.0,0.0,105.24414,106.54492,5842.0,2.0,5.0,110.85889,100.677,5200.0,0.0,3.0,team_fight
49,113.697705,33.31437568066716,102.0694581,13.615890907930355,101718,22,22,0,8,68,9,45993,55725,-9732,9732,163.29736,79.26416,14174.0,2.0,0.0,107.49756,123.69653,10302.0,3.0,1.0,105.60376,106.0354,11717.0,1.0,2.0,108.56348,111.825195,3848.0,1.0,6.0,186.20703,120.66016,5952.0,2.0,4.0,91.11792,96.63916,18975.0,7.0,1.0,93.92578,93.15088,13523.0,4.0,0.0,90.41797,94.62915,11483.0,0.0,0.0,92.77075,94.555176,6312.0,2.0,5.0,97.57544,100.23877,5432.0,0.0,3.0,push
50,114.0351551,36.40082485751972,126.866845,27.45650826643496,105096,22,22,0,8,73,9,46675,58421,-11746,11746,166.52905,113.598145,14613.0,2.0,0.0,94.46484,96.950195,10551.0,3.0,1.0,67.78931,107.89502,11765.0,1.0,2.0,95.78735,89.18945,3846.0,1.0,6.0,190.71924,110.21362,5900.0,2.0,4.0,103.177,144.68286,19865.0,7.0,1.0,109.63403,139.91626,14256.0,4.0,0.0,103.8562,152.031,11822.0,0.0,0.0,104.286865,175.9148,6753.0,2.0,5.0,104.107666,138.2771,5725.0,0.0,3.0,push
51,122.2267576,33.770517842096375,124.4739736,29.682967120671016,107873,22,22,1,8,74,8,48155,59718,-11563,11563,168.16748,96.71167,15136.0,2.0,0.0,115.733154,94.22925,11068.0,3.0,1.0,76.65747,150.52588,12015.0,1.0,2.0,136.54468,63.944336,3989.0,1.0,6.0,190.4331,121.98047,5947.0,2.0,4.0,104.288086,144.43408,20250.0,7.0,1.0,107.61792,136.8291,14549.0,4.0,0.0,107.71802,141.9873,12056.0,0.0,0.0,106.735596,144.0122,7006.0,2.0,5.0,108.37207,150.08545,5857.0,0.0,3.0,Roshan
52,110.251074,46.36897690216768,121.611158,32.4221483254888,109639,22,22,1,8,74,6,49308,60331,-11023,11023,173.78198,91.12598,15458.0,2.0,0.0,115.91333,86.68872,11391.0,3.0,1.0,89.77246,191.10327,12062.0,1.0,2.0,154.6189,75.58252,4192.0,1.0,6.0,191.76343,132.69873,6205.0,2.0,4.0,76.46411,123.76294,20474.0,7.0,1.0,74.85791,130.9668,14668.0,4.0,0.0,72.78369,128.56958,12189.0,0.0,0.0,84.76001,131.25415,7096.0,2.0,5.0,67.79492,124.35889,5904.0,0.0,3.0,push
53,91.7048821,34.02132539747775,113.673998,29.34314679714543,113522,22,22,1,11,77,8,51426,62096,-10670,10670,182.54126,130.58813,16137.0,2.0,0.0,77.66821,93.44971,11905.0,3.0,1.0,114.07544,190.53271,12517.0,1.0,2.0,73.22876,92.03027,4446.0,1.0,6.0,79.943115,92.509766,6421.0,2.0,4.0,74.94946,103.78467,21272.0,7.0,1.0,79.86279,106.576904,14851.0,4.0,0.0,79.43848,108.17651,12472.0,0.0,0.0,81.08154,106.54907,7414.0,2.0,5.0,74.259766,112.54224,6087.0,0.0,3.0,split-push
54,119.5639655,35.750541864880134,117.14579940000002,33.13350176661485,116512,22,22,1,11,78,8,52565,63947,-11382,11382,168.52808,97.720215,16595.0,2.0,0.0,81.686035,93.01123,12191.0,3.0,1.0,143.75537,192.41357,12828.0,1.0,2.0,84.46753,91.40576,4444.0,1.0,6.0,76.3479,76.382324,6507.0,2.0,4.0,176.73926,145.53198,21821.0,7.0,1.0,119.59424,112.818115,15269.0,4.0,0.0,108.07568,127.21069,12850.0,0.0,0.0,135.27393,115.87744,7627.0,2.0,5.0,101.17163,119.08667,6380.0,0.0,3.0,push
55,144.3267576,39.37421863576436,92.5605708,14.073786068967708,117964,22,22,1,11,79,9,53535,64429,-10894,10894,131.78442,90.42578,16887.0,2.0,0.0,121.35327,87.85449,12688.0,3.0,1.0,110.687256,80.15259,12756.0,1.0,2.0,109.1792,79.21167,4573.0,1.0,6.0,76.50806,79.64526,6631.0,2.0,4.0,168.79272,81.34839,22227.0,7.0,1.0,184.16089,111.1228,15317.0,4.0,0.0,190.98096,119.216064,12932.0,0.0,0.0,169.04297,100.54883,7675.0,2.0,5.0,180.77783,96.079834,6278.0,0.0,3.0,farm
56,158.402295,9.068189709063272,99.9028809,6.458350998116516,119088,22,22,1,11,82,10,54328,64760,-10432,10432,168.26367,108.38306,17200.0,2.0,0.0,155.8374,103.7832,12858.0,3.0,1.0,165.81763,106.58911,12886.0,1.0,2.0,149.69507,93.71094,4653.0,1.0,6.0,170.1372,106.06543,6731.0,2.0,4.0,150.37915,92.164795,22376.0,7.0,1.0,149.98193,93.0061,15365.0,4.0,0.0,158.37671,96.93164,13180.0,0.0,0.0,147.0044,94.190674,7643.0,2.0,5.0,168.52979,104.20386,6196.0,0.0,3.0,team_fight
57,127.0276606,31.1360327649123,91.6324705,18.885087217617773,121069,24,24,1,11,82,10,55133,65936,-10803,10803,89.34277,132.90308,17541.0,2.0,0.0,90.65015,79.41162,12581.0,3.0,1.0,161.59448,64.20703,13315.0,2.0,2.0,147.70825,94.10791,4646.0,1.0,7.0,79.07446,86.45166,7050.0,2.0,4.0,136.13818,79.4353,23001.0,8.0,1.0,142.43408,78.789795,15670.0,4.0,0.0,130.04297,96.10913,13314.0,0.0,0.0,124.732666,101.022705,7777.0,2.0,5.0,168.5586,103.886475,6174.0,0.0,4.0,farm
