bin,avg_x,std_x,avg_y,std_y,sum_networth,sum_kills,sum_deaths,n_roshans,n_pushes,n_wards,hero_density,sum_networth_radiant,sum_networth_dire,net_worth_diff,abs_net_worth_diff,core_r_x,core_r_y,core_r_networth,core_r_kills,core_r_deaths,mid_r_x,mid_r_y,mid_r_networth,mid_r_kills,mid_r_deaths,hard_r_x,hard_r_y,hard_r_networth,hard_r_kills,hard_r_deaths,h_sup_r_x,h_sup_r_y,h_sup_r_networth,h_sup_r_kills,h_sup_r_deaths,sup_r_x,sup_r_y,sup_r_networth,sup_r_kills,sup_r_deaths,core_d_x,core_d_y,core_d_networth,core_d_kills,core_d_deaths,mid_d_x,mid_d_y,mid_d_networth,mid_d_kills,mid_d_deaths,hard_d_x,hard_d_y,hard_d_networth,hard_d_kills,hard_d_deaths,h_sup_d_x,h_sup_d_y,h_sup_d_networth,h_sup_d_kills,h_sup_d_deaths,sup_d_x,sup_d_y,sup_d_networth,sup_d_kills,sup_d_deaths,label
35,128.761229,9.303864539633755,169.488283,7.743247759344983,65041,22,23,0,2,52,10,35587,29454,6133,6133,133.7539,169.13135,11128.0,5.0,1.0,112.87427,179.1355,8490.0,4.0,2.0,111.13281,184.32642,7255.0,1.0,1.0,136.30615,168.87256,4050.0,2.0,3.0,130.53369,163.74756,4664.0,3.0,1.0,127.89453,173.28003,9542.0,3.0,2.0,130.5957,158.55298,7928.0,1.0,5.0,135.61841,163.0149,6061.0,0.0,1.0,137.19116,165.3584,3439.0,3.0,4.0,131.71167,169.46313,2484.0,0.0,3.0,team_fight
36,118.1703121,30.26715497615124,140.310546,36.98868095178704,66824,23,24,0,2,52,8,36419,30405,6014,6014,133.7539,169.13135,11249.0,5.0,1.0,108.77124,176.68994,8984.0,5.0,2.0,96.565186,166.03296,7403.0,1.0,1.0,79.234375,81.57031,4072.0,2.0,3.0,73.703125,78.97656,4711.0,3.0,1.0,129.72559,168.29565,9950.0,3.0,2.0,140.24316,126.22485,8145.0,1.0,5.0,159.16089,125.90527,6256.0,0.0,1.0,156.34668,137.02051,3523.0,3.0,4.0,104.198975,173.25806,2531.0,0.0,4.0,gang
37,132.8057875,25.237917401425893,152.97665999999998,23.7738216516758,69033,23,24,0,2,52,10,37514,31519,5995,5995,104.133545,140.9563,11558.0,5.0,1.0,124.50806,173.98267,9209.0,5.0,2.0,114.33276,181.17969,7484.0,1.0,1.0,104.9834,144.18994,4119.0,2.0,3.0,120.52368,166.8601,5144.0,3.0,1.0,163.4624,117.65625,10080.0,3.0,2.0,136.2898,140.33594,8582.0,1.0,5.0,177.6897,118.33374,6671.0,0.0,1.0,125.69849,170.36157,3608.0,3.0,4.0,156.43604,175.9104,2578.0,0.0,4.0,gang
38,129.939795,13.264886596197629,141.840722,17.223146243936966,72109,24,25,1,2,54,10,39604,32505,7099,7099,116.63013,138.53955,12020.0,5.0,1.0,121.14307,149.97754,9942.0,6.0,2.0,118.10278,111.27515,7788.0,1.0,1.0,121.53711,147.5332,4302.0,2.0,3.0,131.36572,145.7102,5552.0,3.0,1.0,134.21777,141.9419,10426.0,3.0,2.0,137.42114,149.3247,8768.0,1.0,5.0,161.823,115.32031,7042.0,0.0,1.0,125.27588,170.24414,3693.0,3.0,5.0,131.88135,148.54053,2576.0,0.0,4.0,Roshan
39,140.74228599999998,7.79276844621017,146.25410200000002,3.4126413766263552,74499,27,28,1,2,56,10,41143,33356,7787,7787,138.60864,143.38818,12643.0,6.0,1.0,136.40479,147.97437,10333.0,7.0,2.0,137.0249,141.54224,8031.0,1.0,1.0,132.45044,150.41699,4675.0,2.0,3.0,131.14209,145.92847,5461.0,3.0,2.0,154.89185,145.71167,10837.0,4.0,2.0,147.7002,147.35327,8966.0,1.0,5.0,150.51465,151.16577,7039.0,0.0,1.0,139.79077,141.18091,3809.0,3.0,6.0,138.89453,147.87915,2705.0,0.0,5.0,gang
40,149.338941,20.08691615208237,138.27622,28.12810940575439,76807,27,28,1,3,57,10,42848,33959,8889,8889,141.00049,141.96826,13090.0,6.0,1.0,146.927,103.3457,10769.0,7.0,2.0,169.97949,101.47656,8447.0,1.0,1.0,128.53247,151.052,4853.0,2.0,3.0,129.49976,115.87329,5689.0,3.0,2.0,177.17798,137.26733,11067.0,4.0,2.0,124.36719,190.04224,9208.0,1.0,5.0,162.97827,125.19263,7037.0,0.0,1.0,174.03223,168.66504,3894.0,3.0,6.0,138.89453,147.87915,2753.0,0.0,5.0,push
41,181.521558,10.497344964608702,126.1589595,18.446719256420856,78371,27,28,1,3,57,10,43724,34647,9077,9077,179.48584,118.17334,13216.0,6.0,1.0,181.97754,111.963135,11019.0,7.0,2.0,170.69702,113.19824,8591.0,1.0,1.0,159.74146,118.803955,4900.0,2.0,3.0,177.3562,111.12842,5998.0,3.0,2.0,181.30566,173.92334,11309.0,4.0,2.0,191.6106,128.73291,9292.0,1.0,5.0,192.48096,123.424805,7271.0,0.0,1.0,191.53174,129.62524,4025.0,3.0,6.0,189.02856,132.61621,2750.0,0.0,5.0,farm
42,187.754223,4.285120616422597,132.645996,7.048726234363513,80087,29,30,1,3,58,10,45454,34633,10821,10821,190.82153,138.406,14013.0,8.0,1.0,181.58301,135.18848,11274.0,7.0,2.0,190.68042,130.91577,8846.0,1.0,1.0,184.00342,131.5354,5118.0,2.0,3.0,190.70972,135.29028,6203.0,3.0,2.0,193.88037,121.00098,11231.0,4.0,3.0,188.73364,121.22803,9106.0,1.0,6.0,180.98193,133.88257,7318.0,0.0,1.0,189.03442,135.34277,4133.0,3.0,6.0,187.11377,143.66968,2845.0,0.0,5.0,team_fight
43,168.455175,35.87948462136894,132.309987,9.01285515078453,83029,33,34,1,3,58,9,47746,35283,12463,12463,79.56299,148.71289,14934.0,11.0,1.0,131.18823,130.63794,11928.0,7.0,2.0,179.54443,128.64038,9147.0,1.0,1.0,185.43286,131.67847,5191.0,2.0,4.0,176.93066,129.31836,6546.0,3.0,2.0,193.88037,121.00098,11279.0,4.0,3.0,188.73364,121.22803,9154.0,1.0,6.0,174.57056,130.35498,7630.0,1.0,2.0,188.57007,136.35059,4398.0,3.0,7.0,186.13794,145.17725,2822.0,0.0,6.0,push
44,128.852124,37.176912795704624,145.35888649999998,34.1206127465875,85473,33,34,1,4,59,9,49616,35857,13759,13759,85.39624,168.66455,15737.0,11.0,1.0,150.23438,129.06543,12353.0,7.0,2.0,115.41089,96.984375,9460.0,1.0,1.0,94.08301,100.89722,5348.0,2.0,4.0,80.04004,178.75732,6718.0,3.0,2.0,139.59546,191.86328,11544.0,4.0,3.0,144.906,140.35474,9201.0,1.0,6.0,174.57056,130.35498,7677.0,1.0,2.0,189.3789,131.0476,4566.0,3.0,7.0,114.90576,185.59937,2869.0,0.0,6.0,push
45,126.2189945,35.481830425024306,145.8097164,27.298807258934083,90586,33,34,1,4,61,8,53340,37246,16094,16094,102.12427,175.56128,16391.0,11.0,1.0,111.90625,163.7898,13099.0,7.0,2.0,68.58496,105.38818,9799.0,1.0,1.0,101.60791,128.4143,5570.0,2.0,4.0,97.816895,178.69751,8481.0,3.0,2.0,152.10864,148.15723,11669.0,4.0,3.0,144.896,140.177,9544.0,1.0,6.0,179.19067,115.003174,8169.0,1.0,2.0,170.13062,124.71045,4842.0,3.0,7.0,133.82373,178.19824,3022.0,0.0,6.0,farm
46,154.026173,27.827560745543483,120.3367423,27.87580592201154,93154,33,34,1,4,64,10,54843,38311,16532,16532,167.9524,95.07959,16686.0,11.0,1.0,165.74536,85.816895,13521.0,7.0,2.0,98.5459,133.27148,10197.0,1.0,1.0,164.2019,94.204834,5754.0,2.0,4.0,111.23242,141.05786,8685.0,3.0,2.0,163.36206,111.95825,11996.0,4.0,3.0,166.64038,98.528564,9849.0,1.0,6.0,191.04517,130.26636,8519.0,1.0,2.0,154.66895,139.11035,4877.0,3.0,7.0,156.86719,174.07324,3070.0,0.0,6.0,farm
47,141.8439946,11.1608123674512,152.8335704,25.382262347938383,95376,34,35,1,4,64,10,56220,39156,17064,17064,150.09644,127.88916,17119.0,11.0,1.0,137.60547,153.68481,13928.0,7.0,2.0,144.28442,160.21582,10193.0,1.0,1.0,141.0708,149.4314,6253.0,3.0,4.0,142.35718,153.54639,8727.0,3.0,2.0,124.041016,187.32666,12453.0,4.0,3.0,166.64038,98.528564,9650.0,1.0,7.0,138.00122,159.94873,8731.0,1.0,2.0,141.52759,154.6648,4962.0,3.0,7.0,132.81543,183.09937,3360.0,0.0,6.0,farm
48,149.2984116,23.20456990696863,161.987158,10.66894990472696,97840,37,38,1,4,65,9,58337,39503,18834,18834,158.58325,156.35425,17484.0,11.0,1.0,166.44507,155.00659,14677.0,9.0,2.0,158.88232,155.2976,10466.0,1.0,1.0,149.28394,151.6582,6457.0,3.0,4.0,144.9956,171.1023,9253.0,4.0,2.0,92.288086,187.98218,12737.0,4.0,3.0,171.31567,162.70508,9698.0,1.0,7.0,138.86035,162.56152,8561.0,1.0,3.0,141.72021,156.37134,5047.0,3.0,8.0,170.60962,160.83252,3460.0,0.0,7.0,push
49,156.94946299999998,15.92596247954964,168.614525,6.672569254566302,101844,37,38,1,5,65,10,61310,40534,20776,20776,144.97949,163.23047,18465.0,11.0,1.0,145.87793,163.84448,15094.0,9.0,2.0,145.56055,164.73242,10883.0,1.0,1.0,138.74634,165.06445,6874.0,3.0,4.0,144.19238,159.79492,9994.0,4.0,2.0,156.01978,176.0769,13292.0,4.0,3.0,158.92236,165.0188,9995.0,1.0,7.0,180.67822,177.729,8608.0,1.0,3.0,177.65576,176.25049,5132.0,3.0,8.0,176.86182,174.40332,3507.0,0.0,7.0,push
50,150.16643,16.43153071785529,154.7362795,25.22874735450376,104248,37,38,1,5,68,10,63054,41194,21860,21860,134.19067,163.78564,19115.0,11.0,1.0,152.85571,147.5127,15299.0,9.0,2.0,152.05005,117.73511,11150.0,1.0,1.0,132.62695,179.85449,6993.0,3.0,4.0,134.02002,126.700195,10497.0,4.0,2.0,147.48413,177.6482,13447.0,4.0,3.0,189.73169,117.78613,10226.0,1.0,7.0,153.39136,172.18628,8680.0,1.0,3.0,152.33862,169.6145,5191.0,3.0,8.0,152.9751,174.53955,3650.0,0.0,7.0,farm
51,158.068555,9.24718691836875,174.782055,3.386754543873824,107020,40,41,1,5,68,10,65158,41862,23296,23296,153.89844,179.17944,20088.0,13.0,1.0,168.74341,171.56421,15853.0,10.0,2.0,161.62329,175.6875,11312.0,1.0,1.0,152.15479,171.32886,7263.0,3.0,4.0,152.75171,173.73071,10642.0,4.0,2.0,140.97388,180.03052,13695.0,4.0,4.0,161.39355,176.49365,10547.0,1.0,7.0,154.53271,176.93872,8773.0,1.0,3.0,173.46704,170.3999,5245.0,3.0,9.0,161.14673,172.46704,3602.0,0.0,8.0,gang
