bin,avg_x,std_x,avg_y,std_y,sum_networth,sum_kills,sum_deaths,n_roshans,n_pushes,n_wards,hero_density,sum_networth_radiant,sum_networth_dire,net_worth_diff,abs_net_worth_diff,core_r_x,core_r_y,core_r_networth,core_r_kills,core_r_deaths,mid_r_x,mid_r_y,mid_r_networth,mid_r_kills,mid_r_deaths,hard_r_x,hard_r_x.1,hard_r_x.2,hard_r_x.3,hard_r_y,hard_r_y.1,hard_r_y.2,hard_r_y.3,hard_r_networth,hard_r_networth.1,hard_r_networth.2,hard_r_networth.3,hard_r_kills,hard_r_kills.1,hard_r_kills.2,hard_r_kills.3,hard_r_deaths,hard_r_deaths.1,hard_r_deaths.2,hard_r_deaths.3,sup_r_x,sup_r_y,sup_r_networth,sup_r_kills,sup_r_deaths,core_d_x,core_d_y,core_d_networth,core_d_kills,core_d_deaths,mid_d_x,mid_d_y,mid_d_networth,mid_d_kills,mid_d_deaths,hard_d_x,hard_d_y,hard_d_networth,hard_d_kills,hard_d_deaths,h_sup_d_x,h_sup_d_y,h_sup_d_networth,h_sup_d_kills,h_sup_d_deaths,sup_d_x,sup_d_y,sup_d_networth,sup_d_kills,sup_d_deaths,label
25,149.119873,32.66752723861522,122.4396234,37.3294031505268,43738,6,6,0,1,33,7,21632,22106,-474,474,169.82202,96.6062,6412.0,2.0,0.0,163.03516,94.4375,5452.0,1.0,0.0,74.61743,160.75342,74.61743,160.75342,174.48926,94.510254,174.48926,94.510254,5362.0,2336.0,5362.0,2336.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,160.16748,108.28223,2070.0,0.0,1.0,121.81592,183.82153,5169.0,0.0,1.0,146.62451,130.84717,5594.0,0.0,0.0,132.41455,141.41235,5511.0,1.0,1.0,173.4209,66.87158,2302.0,0.0,1.0,188.52734,133.11816,3530.0,1.0,1.0,farm
26,171.31396360000002,32.950165776390605,105.2788331,23.65410711301228,45537,7,7,0,1,34,9,22439,23098,-659,659,189.77197,95.69409,6715.0,3.0,0.0,161.11548,96.29297,5519.0,1.0,0.0,185.94897,176.2251,185.94897,176.2251,90.10254,88.678955,90.10254,88.678955,5722.0,2466.0,5722.0,2466.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,193.5083,98.24487,2017.0,0.0,1.0,81.388916,169.24829,5592.0,0.0,1.0,177.22363,107.18262,5732.0,0.0,0.0,176.46655,99.86914,5643.0,1.0,1.0,181.78906,94.30469,2228.0,0.0,2.0,189.70166,113.170166,3903.0,1.0,1.0,team_fight
27,184.813965,8.987574612397133,113.4064705,15.502702375338815,47580,8,8,0,1,36,10,23093,24487,-1394,1394,168.8103,96.83496,7241.0,3.0,0.0,173.36743,93.928955,5567.0,1.0,0.0,193.92554,181.2378,193.92554,181.2378,107.78418,135.54053,107.78418,135.54053,5706.0,2514.0,5706.0,2514.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,188.25049,96.75049,2065.0,0.0,1.0,194.63135,110.06592,6328.0,1.0,1.0,180.45874,131.09692,5939.0,0.0,0.0,191.8352,113.84302,5889.0,1.0,1.0,182.83081,132.95972,2264.0,0.0,2.0,192.79199,115.26001,4067.0,1.0,1.0,team_fight
28,136.75007399999998,42.875376562721335,110.6540045,32.89634937277391,50010,9,9,0,1,37,8,23934,26076,-2142,2142,157.45459,64.043945,7599.0,3.0,0.0,93.862305,130.05493,5831.0,1.0,0.0,193.92554,75.16992,193.92554,75.16992,107.78418,91.24536,107.78418,91.24536,5793.0,2599.0,5793.0,2599.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,77.112305,159.0503,2112.0,0.0,1.0,122.16675,164.66309,6647.0,1.0,1.0,136.01855,122.18701,6451.0,1.0,0.0,172.9043,84.79346,6285.0,1.0,1.0,170.07886,91.09497,2391.0,0.0,2.0,168.80762,91.6228,4302.0,1.0,1.0,farm
29,140.0494871,33.65316959300865,118.0085685,46.109882845039365,52351,9,9,0,2,37,7,25353,26998,-1645,1645,123.853516,65.39282,7909.0,3.0,0.0,97.59302,175.2522,6353.0,1.0,0.0,124.53027,105.880615,124.53027,105.880615,126.87964,134.51416,126.87964,134.51416,6163.0,2647.0,6163.0,2647.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,108.52319,160.81372,2281.0,0.0,1.0,132.07886,191.71484,6761.0,1.0,1.0,173.29907,88.82837,6688.0,1.0,0.0,167.93945,81.730225,6580.0,1.0,1.0,180.19556,80.72485,2529.0,0.0,2.0,186.60132,74.23486,4440.0,1.0,1.0,push
30,147.760303,21.762852088264765,131.1600824,37.44053773883893,56921,9,9,0,3,39,8,26787,30134,-3347,3347,135.57568,121.247314,8328.0,3.0,0.0,139.43555,146.67358,6682.0,1.0,0.0,134.6438,138.37866,134.6438,138.37866,138.08325,126.7417,138.08325,126.7417,6484.0,2867.0,6484.0,2867.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,136.1814,140.73169,2426.0,0.0,1.0,119.92407,182.13013,7359.0,1.0,1.0,165.89673,66.80322,6910.0,1.0,0.0,141.27441,134.48267,7157.0,1.0,1.0,183.64673,75.68945,2651.0,0.0,2.0,182.646,179.01782,6057.0,1.0,1.0,def
31,129.2506095,29.50000268641084,151.965945,13.999846458142356,58707,10,10,0,3,41,10,28394,30313,-1919,1919,98.57373,131.98828,8752.0,3.0,0.0,130.30127,155.6814,7236.0,2.0,0.0,124.875,122.64404,124.875,122.64404,147.44312,146.40894,147.44312,146.40894,6700.0,3036.0,6700.0,3036.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,131.7771,144.61426,2670.0,0.0,1.0,136.07397,162.1753,7364.0,1.0,1.0,150.84424,145.95557,7038.0,1.0,0.0,142.80981,139.09717,7109.0,1.0,2.0,72.001465,168.54492,2698.0,0.0,2.0,182.60547,177.75049,6104.0,1.0,1.0,team_fight
32,128.1041249,29.917665452332784,165.557618,12.50248833210396,60808,11,11,0,3,43,10,30037,30771,-734,734,90.74536,163.06226,9237.0,3.0,0.0,133.8501,155.04004,7553.0,2.0,0.0,123.29443,130.281,123.29443,130.281,161.40991,154.87695,161.40991,154.87695,6984.0,3229.0,6984.0,3229.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,128.29688,153.44556,3034.0,1.0,1.0,101.562744,187.6875,7557.0,1.0,1.0,139.77295,157.34302,7191.0,1.0,1.0,161.00195,161.89185,7002.0,1.0,2.0,88.433105,180.70361,2746.0,0.0,2.0,183.80273,180.11548,6275.0,1.0,1.0,gang
33,125.5236079,6.652680748678328,180.10368599999998,8.619166395283367,63643,12,12,0,3,43,10,30643,33000,-2357,2357,115.244385,177.80176,9522.0,3.0,1.0,129.30493,181.28906,7600.0,2.0,0.0,124.79419,124.31152,124.79419,124.31152,186.27954,185.75195,186.27954,185.75195,7164.0,3276.0,7164.0,3276.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,131.11792,184.86499,3081.0,1.0,1.0,121.08569,185.38745,8336.0,2.0,1.0,139.77295,157.34302,7238.0,1.0,1.0,124.47705,184.45093,7549.0,1.0,2.0,121.201904,178.04199,2977.0,0.0,2.0,123.92554,179.82617,6900.0,1.0,1.0,team_fight
34,129.740381,22.291016141933945,134.557958,34.86647388993132,65859,14,14,0,3,45,10,31616,34243,-2627,2627,115.244385,177.80176,9569.0,3.0,1.0,166.86768,95.72803,8265.0,3.0,0.0,113.30298,124.31152,113.30298,124.31152,118.13989,185.75195,118.13989,185.75195,7345.0,3375.0,7345.0,3375.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,3.0,107.57129,108.7041,3062.0,1.0,1.0,118.823,118.82153,8958.0,3.0,1.0,131.3396,145.89868,7410.0,1.0,1.0,121.717285,119.21875,7747.0,1.0,2.0,173.15039,96.69385,3197.0,0.0,2.0,125.07568,178.82104,6931.0,1.0,2.0,gang
35,128.866675,25.182964243927284,122.3226805,29.25455557280576,68535,15,15,0,4,47,9,32201,36334,-4133,4133,91.216064,137.5857,9885.0,3.0,1.0,162.57617,64.67334,8673.0,3.0,0.0,113.30298,106.3833,113.30298,106.3833,118.13989,115.0708,118.13989,115.0708,7110.0,3423.0,7110.0,3423.0,1.0,0.0,1.0,0.0,2.0,3.0,2.0,3.0,121.30469,91.751465,3110.0,1.0,1.0,150.72852,122.91089,9657.0,3.0,1.0,115.218506,151.13452,7624.0,1.0,1.0,132.54126,127.14868,8559.0,2.0,2.0,169.62817,124.71997,3425.0,0.0,2.0,125.76709,170.09155,7069.0,1.0,2.0,push
36,137.001735,33.37844327399069,126.259034,34.21987555602322,71361,15,15,0,4,50,7,33519,37842,-4323,4323,90.69385,165.43579,10368.0,3.0,1.0,135.09058,87.31543,8987.0,3.0,0.0,111.715576,103.961914,111.715576,103.961914,111.20752,114.81152,111.20752,114.81152,7221.0,3735.0,7221.0,3735.0,1.0,0.0,1.0,0.0,2.0,3.0,2.0,3.0,169.44922,75.20337,3208.0,1.0,1.0,180.1355,108.8938,10132.0,3.0,1.0,117.40552,162.85645,8030.0,1.0,1.0,120.69751,129.81104,8829.0,2.0,2.0,157.2168,127.23511,3594.0,0.0,2.0,183.65088,179.82031,7257.0,1.0,2.0,farm
37,152.99497100000002,29.753565885376737,105.5377681,29.83659422522556,73325,15,15,0,4,50,8,34523,38802,-4279,4279,82.70801,154.51465,10726.0,3.0,1.0,166.79346,90.301025,9151.0,3.0,0.0,157.62744,165.91138,157.62744,165.91138,89.93042,87.57349,89.93042,87.57349,7533.0,3782.0,7533.0,3782.0,1.0,0.0,1.0,0.0,2.0,3.0,2.0,3.0,165.56958,87.94116,3331.0,1.0,1.0,165.65015,89.40625,10331.0,3.0,1.0,173.82324,103.27319,8590.0,1.0,1.0,171.02612,99.39282,8914.0,2.0,2.0,165.4707,85.770996,3641.0,0.0,2.0,115.36963,167.27368,7326.0,1.0,2.0,team_fight
